Year,Attribute,Sea-level-change
1936,Lower-error-bound,1.83070866
1936,Upper-error-bound,2.759842517
1937,Adjusted-sea-level,2.519685037
1937,Lower-error-bound,2.055118108
1937,Upper-error-bound,2.984251965
1938,Adjusted-sea-level,2.622047241
1938,Lower-error-bound,2.157480313
1938,Upper-error-bound,3.08661417
1939,Adjusted-sea-level,2.826771651
1939,Lower-error-bound,2.346456691
1939,Upper-error-bound,3.307086611
1940,Adjusted-sea-level,2.618110234
1940,Lower-error-bound,2.18110236
1940,Upper-error-bound,3.055118107
1941,Adjusted-sea-level,3.098425194
1941,Lower-error-bound,2.673228344
1941,Upper-error-bound,3.523622044
1942,Adjusted-sea-level,3.098425194
1942,Lower-error-bound,2.673228344
1942,Upper-error-bound,3.523622044
1943,Adjusted-sea-level,3.098425194
1943,Lower-error-bound,2.673228344
1943,Upper-error-bound,3.523622044
1944,Adjusted-sea-level,2.84645669
1944,Lower-error-bound,2.425196848
1944,Upper-error-bound,3.267716532
1945,Adjusted-sea-level,2.95669291
1945,Lower-error-bound,2.535433068
1945,Upper-error-bound,3.377952752
1946,Adjusted-sea-level,3.251968501
1946,Lower-error-bound,2.834645666
1946,Upper-error-bound,3.669291335
1947,Adjusted-sea-level,3.374015745
1947,Lower-error-bound,2.996062989
1947,Upper-error-bound,3.7519685
1948,Adjusted-sea-level,3.562992122
1948,Lower-error-bound,3.19685039
1948,Upper-error-bound,3.929133854
1949,Adjusted-sea-level,3.51181102
1949,Lower-error-bound,3.181102359
1949,Upper-error-bound,3.842519681
1950,Adjusted-sea-level,3.598425193
1950,Lower-error-bound,3.287401571
1950,Upper-error-bound,3.909448815
1951,Adjusted-sea-level,3.972440941
1951,Lower-error-bound,3.665354327
1951,Upper-error-bound,4.279527555
1952,Adjusted-sea-level,3.870078736
1952,Lower-error-bound,3.56692913
1952,Upper-error-bound,4.173228342
1953,Adjusted-sea-level,4.043307082
1953,Lower-error-bound,3.748031492
1953,Upper-error-bound,4.338582673
1954,Adjusted-sea-level,3.929133854
1954,Lower-error-bound,3.64173228
1954,Upper-error-bound,4.216535429
1955,Adjusted-sea-level,3.964566925
1955,Lower-error-bound,3.685039366
1955,Upper-error-bound,4.244094484
1956,Adjusted-sea-level,3.763779524
1956,Lower-error-bound,3.488188973
1956,Upper-error-bound,4.039370075
1957,Adjusted-sea-level,4.291338578
1957,Lower-error-bound,4.019685035
1957,Upper-error-bound,4.562992121
1958,Adjusted-sea-level,4.346456688
1958,Lower-error-bound,4.086614169
1958,Upper-error-bound,4.606299208
1959,Adjusted-sea-level,4.358267712
1959,Lower-error-bound,4.102362201
1959,Upper-error-bound,4.614173224
1960,Adjusted-sea-level,4.503937003
1960,Lower-error-bound,4.244094484
1960,Upper-error-bound,4.763779523
1961,Adjusted-sea-level,4.748031491
1961,Lower-error-bound,4.488188972
1961,Upper-error-bound,5.007874011
1962,Adjusted-sea-level,4.543307082
1962,Lower-error-bound,4.283464563
1962,Upper-error-bound,4.803149601
1963,Adjusted-sea-level,4.480314956
1963,Lower-error-bound,4.220472437
1963,Upper-error-bound,4.740157475
1964,Adjusted-sea-level,4.169291334
1964,Lower-error-bound,3.905511807
1964,Upper-error-bound,4.433070862
1965,Adjusted-sea-level,4.610236216
1965,Lower-error-bound,4.346456688
1965,Upper-error-bound,4.874015743
1966,Adjusted-sea-level,4.397637791
1966,Lower-error-bound,4.137795271
1966,Upper-error-bound,4.65748031
1967,Adjusted-sea-level,4.452755901
1967,Lower-error-bound,4.196850389
1967,Upper-error-bound,4.708661413
1968,Adjusted-sea-level,4.484251964
1968,Lower-error-bound,4.220472437
1968,Upper-error-bound,4.748031491
1969,Adjusted-sea-level,4.751968499
1969,Lower-error-bound,4.476377948
1969,Upper-error-bound,5.02755905
1970,Adjusted-sea-level,4.67716535
1970,Lower-error-bound,4.401574799
1970,Upper-error-bound,4.9527559
1971,Adjusted-sea-level,4.881889759
1971,Lower-error-bound,4.610236216
1971,Upper-error-bound,5.153543302
1972,Adjusted-sea-level,5.240157475
1972,Lower-error-bound,4.968503932
1972,Upper-error-bound,5.511811018
1973,Adjusted-sea-level,5.003937003
1973,Lower-error-bound,4.736220468
1973,Upper-error-bound,5.271653538
1974,Adjusted-sea-level,5.472440939
1974,Lower-error-bound,5.204724404
1974,Upper-error-bound,5.740157474
1975,Adjusted-sea-level,5.409448813
1975,Lower-error-bound,5.145669286
1975,Upper-error-bound,5.673228341
1976,Adjusted-sea-level,5.370078735
1976,Lower-error-bound,5.1023622
1976,Upper-error-bound,5.63779527
1977,Adjusted-sea-level,5.303149601
1977,Lower-error-bound,5.043307081
1977,Upper-error-bound,5.56299212
1978,Adjusted-sea-level,5.555118105
1978,Lower-error-bound,5.291338577
1978,Upper-error-bound,5.818897632
1979,Adjusted-sea-level,5.362204719
